,Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic
3339,CA,Valley Acres CDP,81.2,0.2,1.9,0.2,23
3340,CA,Valley Center CDP,73.1,0.9,2,3.2,27.8
3341,CA,Valley Ford CDP,71.4,0.7,0,0,35.4
3342,CA,Valley Home CDP,81.6,0.9,1.3,0,14.9
3343,CA,Valley Ranch CDP,98.2,0,0,0,1.8
3344,CA,Valley Springs CDP,85.8,1,1.1,2,12.8
3345,CA,Valley Wells CDP,(X),(X),(X),(X),(X)
3346,CA,Val Verde CDP,56.9,4.3,1.1,1.9,61.1
3347,CA,Vandenberg AFB CDP,69.4,9.2,0.8,6.2,18.5
3348,CA,Vandenberg Village CDP,77.4,4.2,0.9,5,18.7
3349,CA,Verdi CDP,94.4,0,0,0.6,6.2
3350,CA,Vernon city,88.4,3.6,0,1.8,42.9
3351,CA,Victor CDP,60.4,0,2.4,6.5,51.2
3352,CA,Victorville city,48.5,16.8,1.4,4,47.8
3353,CA,View Park-Windsor Hills CDP,6,84.8,0.4,1.3,6.5
3354,CA,Villa Park city,78.3,0.7,0.6,14.7,10.3
3355,CA,Vina CDP,82.3,0.4,3,0.8,17.7
3356,CA,Vincent CDP,54.5,2,0.9,7.1,74.9
3357,CA,Vine Hill CDP,68.3,3,0.9,5.2,31.1
3358,CA,Vineyard CDP,45.5,9.8,0.7,29.4,17.8
3359,CA,Visalia city,64.5,2.1,1.4,5.4,46
3360,CA,Vista city,63.5,3.3,1.2,4.2,48.4
3361,CA,Vista Santa Rosa CDP,58.1,0.3,4.8,0.2,85
3362,CA,Volcano CDP,94.8,0,1.7,1.7,6.1
3363,CA,Volta CDP,81.7,2.8,0,0.4,53.7
3364,CA,Contra Costa Centre CDP,65,4,0.3,21.5,10.4
3365,CA,Walker CDP,87.2,0.4,7.9,0.4,9.7
3366,CA,Wallace CDP,86.1,0.7,1,2.5,7.9
3367,CA,Walnut city,23.7,2.8,0.2,63.6,19.1
3368,CA,Walnut Creek city,78.7,1.6,0.2,12.5,8.6
